,0
"('0.000659387563821511',)",CRS_DEP_TIME
"('0.00020852451175962068',)",CRS_ARR_TIME
"('0.003283277546484411',)",CRS_ELAPSED_TIME
"('5.045729427033281e-05',)",DISTANCE
"('-0.0876902042170271',)",DISTANCE_GROUP
"('0.5780737665047848',)",UNIQUE_CARRIER_WN
"('-0.03632268792824195',)",UNIQUE_CARRIER_DL
"('-0.3414296758614051',)",UNIQUE_CARRIER_YX
"('0.22580674178661767',)",UNIQUE_CARRIER_B6
"('-0.3427761176015958',)",UNIQUE_CARRIER_AS
"('-0.17309795789203952',)",UNIQUE_CARRIER_OO
"('-0.29071714891483785',)",UNIQUE_CARRIER_ZW
"('0.44125222952908594',)",UNIQUE_CARRIER_F9
"('0.2912039219333295',)",ORIGIN_MCO
"('-0.4281788915714321',)",ORIGIN_JFK
"('0.3542474281618434',)",ORIGIN_DFW
"('0.619729279884569',)",ORIGIN_DAL
"('1.0828287293327314',)",ORIGIN_TUL
"('-0.22632157545707784',)",ORIGIN_PDX
"('0.20198010497295013',)",ORIGIN_LAS
"('1.1700236633644914',)",ORIGIN_TLH
"('-1.2741291757399342',)",ORIGIN_TYS
"('0.5153634095097732',)",ORIGIN_MDW
"('0.3692423087755166',)",ORIGIN_CLT
"('0.3514684538743775',)",ORIGIN_SNA
"('-0.47411525446353087',)",ORIGIN_HNL
"('0.35905902643846277',)",ORIGIN_STL
"('-0.9652692087814604',)",ORIGIN_SBA
"('0.6700356588683933',)",ORIGIN_HOU
"('1.0928898948711743',)",ORIGIN_TTN
"('-1.0974799530155803',)",ORIGIN_MSO
"('-1.0571046259624148',)",ORIGIN_SYR
"('0.6447932510781593',)",ORIGIN_LBE
"('0.9375924942378343',)",ORIGIN_ACV
"('1.454742487587044',)",ORIGIN_PHF
"('-1.2281437248900648',)",ORIGIN_KOA
"('-0.8474006183066429',)",ORIGIN_LEX
"('-0.9229456678148652',)",ORIGIN_AMA
"('1.3315496049604139',)",ORIGIN_MOB
"('0.7304680472764659',)",ORIGIN_BFF
"('-0.2746464702796268',)",DEST_DTW
"('-0.35990520381383256',)",DEST_IAH
"('0.5819412149225419',)",DEST_EWR
"('-0.2322610851170424',)",DEST_ATL
"('0.4837208580960903',)",DEST_BOS
"('0.1524063440144511',)",DEST_LAS
"('0.2161200733276583',)",DEST_MCO
"('-0.730501584326551',)",DEST_OGG
"('-0.4932131968782824',)",DEST_DCA
"('0.557390153650569',)",DEST_OAK
"('-0.40400125898988876',)",DEST_IAD
"('-0.2980568711460644',)",DEST_MSP
"('1.3236437954139906',)",DEST_SIT
"('0.3005097630207513',)",DEST_HOU
"('0.16814168302382182',)",DEST_MDW
"('-1.3302506141565325',)",DEST_MSN
"('1.4260844366077696',)",DEST_ILM
"('0.8820515769987529',)",DEST_CAE
"('0.9729836485348553',)",DEST_ACY
"('0.5357763359733212',)",DEST_LYH
"('0.6050898673601806',)",DEST_PHF
"('0.8125599920231811',)",DEST_MQT
"('0.6211654964649099',)",DEST_CSG
"('0.8928524369573376',)",DEST_ACK
